case,resolution,steps,tau,force_z,subsamples,geometry_workers,source_dump,particle_filter,n_particles,porosity_psc,mean_uz_fluid,superficial_uz,max_uz,permeability_lu,K_over_skeleton_same_resolution,momentum_residual,particle_force_sum_x_lu,particle_force_sum_y_lu,particle_force_sum_z_lu,particle_force_norm_sum_lu,fluid_imb_sum_x_lu,fluid_imb_sum_y_lu,fluid_imb_sum_z_lu,particle_fluid_momentum_closure_lu,domain_body_force_z_lu,fluid_volume_body_force_z_lu
packed_slug,320,360,0.72,2e-07,2,12,/data1/wangjian/lbm-imb-dem-couple-storage/data/production/3d_pebble_bed/local_windows/strong_force_chain/fines_packed_slug_900_traj_9900.dump,all,1853,0.29355278396606443,3.8877702476454895e-06,1.1412657796167692e-06,2.4148266766341635e-05,0.4184641191928153,0.8585065285505498,7.105436971566599e-15,2.689804694827971e-06,1.403104174383437e-05,4.62908407064616,4.629084070668205,-2.6898046948236035e-06,-1.4031041743823528e-05,-4.629084070646167,7.105436971566599e-15,6.553599999999999,1.9238275249999999
skeleton,64,360,0.72,2e-07,2,,/Users/wangjian-macbook13/Documents/lbm-ibm-dem couple/data/production/3d_pebble_bed/local_windows/strong_force_chain/fines_packed_slug_900_traj_9900.dump,type==1,1099,0.3016653060913086,4.2666907502857754e-07,1.2871125711819135e-07,9.465781272780549e-07,0.047194127610003495,1.0,1.3877798478763375e-17,,,,,,,,,,
skeleton,96,360,0.72,2e-07,2,,/Users/wangjian-macbook13/Documents/lbm-ibm-dem couple/data/production/3d_pebble_bed/local_windows/strong_force_chain/fines_packed_slug_900_traj_9900.dump,type==1,1099,0.3018001980251736,5.562618805040627e-07,1.6787994568998158e-07,1.7647087495740688e-06,0.061555980086326574,1.0,6.93890069195481e-17,,,,,,,,,,
skeleton,128,360,0.72,2e-07,2,,/Users/wangjian-macbook13/Documents/lbm-ibm-dem couple/data/production/3d_pebble_bed/local_windows/strong_force_chain/fines_packed_slug_900_traj_9900.dump,type==1,1099,0.30182069540023804,7.820134765290871e-07,2.3602785129836682e-07,3.4611759599761586e-06,0.08654354547606782,1.0,1.110223317821871e-16,,,,,,,,,,
skeleton,160,360,0.72,2e-07,2,,/home/wangjian/lbm-imb-dem-couple/data/production/3d_pebble_bed/local_windows/strong_force_chain/fines_packed_slug_900_traj_9900.dump,type==1,1099,0.30184408569335935,1.1118355969258572e-06,3.3560099919541583e-07,5.286252777369401e-06,0.12305369970498578,1.0,3.3306757797616295e-16,,,,,,,,,,
skeleton,192,360,0.72,2e-07,2,,/home/wangjian/lbm-imb-dem-couple/data/production/3d_pebble_bed/local_windows/strong_force_chain/fines_packed_slug_900_traj_9900.dump,type==1,1099,0.3018512725830078,1.5489777222764353e-06,4.6756089667187083e-07,7.73525846665686e-06,0.17143899544635263,1.0,6.661339628834895e-16,,,,,,,,,,
skeleton,224,360,0.72,2e-07,2,12,/data1/wangjian/lbm-imb-dem-couple-storage/data/production/3d_pebble_bed/local_windows/strong_force_chain/fines_packed_slug_900_traj_9900.dump,type==1,1099,0.30186375654126046,2.095408581417568e-06,6.325279058755008e-07,1.0729508937605513e-05,0.2319268988210169,1.0,4.440917358973727e-16,,,,,,,,,,
skeleton,256,360,0.72,2e-07,2,16,/data1/wangjian/lbm-imb-dem-couple-storage/data/production/3d_pebble_bed/local_windows/strong_force_chain/fines_packed_slug_900_traj_9900.dump,type==1,1099,0.301866352558136,2.7532685747866553e-06,8.311191422837851e-07,1.425331321451877e-05,0.3047436855040545,1.0,8.881844544274814e-16,,,,,,,,,,
skeleton,288,360,0.72,2e-07,2,18,/data1/wangjian/lbm-imb-dem-couple-storage/data/production/3d_pebble_bed/local_windows/strong_force_chain/fines_packed_slug_900_traj_9900.dump,type==1,1099,0.30188110728322726,3.522529031365054e-06,1.0633849644257964e-06,1.85148062427267e-05,0.38990782028945864,1.0,5.7731605759108796e-15,,,,,,,,,,
skeleton,320,360,0.72,2e-07,2,12,/data1/wangjian/lbm-imb-dem-couple-storage/data/production/3d_pebble_bed/local_windows/strong_force_chain/fines_packed_slug_900_traj_9900.dump,type==1,1099,0.3018771667480469,4.4036513562509174e-06,1.3293617947712208e-06,2.3101789871161544e-05,0.48743265808278086,1.0,8.881797730100033e-15,,,,,,,,,,
