case,coarse_resolution,mid_resolution,fine_resolution,richardson_order,permeability_extrapolated_lu,fine_grid_permeability_lu,relative_fine_to_extrapolated,K_over_skeleton_extrapolated
baseline,256,288,320,0.1,9.334556655327926,0.4699346007984587,0.9496564627383528,0.9628163339146832
packed_slug,256,288,320,0.1,8.237636121926206,0.4184641191928153,0.9492009463638501,0.849674055650962
skeleton,256,288,320,0.1,9.695054317758466,0.48743265808278086,0.9497235763609958,1.0
